catalog_id,catalog_title,official_title,catalog_region,catalog_edition,content_type,role,current_value,recommended_company,confidence,evidence_scope,recommended_action,evidence_summary,source_1,source_2,classification,previous_value,company_slugs,company_display_names,resolved_evidence_urls,evidence_catalog_ids,stale_reason,reviewed_at,review_batch
ps4-acalesia,Acalesia,Acalesia,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Red Art Games,VERY_HIGH,EXACT_PAL_PHYSICAL,ADD_PHYSICAL_PUBLISHER_KEEP_DIGITAL_SEPARATE,Red Art Games identifica expresamente su edición física; Victory Road figura como editora digital.,https://www.redartgames.com/playstation-4/431-acalesia-ps4-pre-order.html,https://store.playstation.com/en-gb/product/EP8009-CUSA27336_00-5021120251256233,ADD,,red-art-games,Red Art Games,https://www.redartgames.com/playstation-4/431-acalesia-ps4-pre-order.html | https://store.playstation.com/en-gb/product/EP8009-CUSA27336_00-5021120251256233,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-ace-attorney-investigations-collection,Ace Attorney Investigations Collection,Ace Attorney Investigations Collection,PAL España,standard,POSSIBLE_COMPILATION_OR_MULTI_PRODUCT,DEVELOPER,Capcom,Capcom,HIGH,GAME_WORK,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: STEAM, WIKIDATA.",https://store.steampowered.com/app/2401970,https://www.wikidata.org/entity/Q126723238,CONFIRM,Capcom,capcom,Capcom,https://store.steampowered.com/app/2401970 | https://www.wikidata.org/entity/Q126723238,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-action-pack-quake-&#43;-doom-slayers-collection,Action Pack: Quake + DOOM Slayers Collection,id Action Pack Vol. 1: Quake + DOOM Slayers Collection,PAL España,standard,POSSIBLE_COMPILATION_OR_MULTI_PRODUCT,DEVELOPER,,id Software,HIGH,COMPILATION_PRIMARY_CREDIT,ADD_DEVELOPER_AND_CLASSIFY_COMPILATION,La ficha PAL atribuye el crédito principal a id Software; debe conservarse además el carácter de recopilatorio.,https://www.pricecharting.com/game/pal-playstation-4/action-pack-quake-%2B-doom-slayers-collection,https://slayersclub.bethesda.net/en-ZA/news/doom-slayers-collection-out-now,ADD,,id-software,Id Software,https://www.pricecharting.com/game/pal-playstation-4/action-pack-quake-%2B-doom-slayers-collection | https://slayersclub.bethesda.net/en-ZA/news/doom-slayers-collection-out-now,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-adam-wolfe,Adam Wolfe,Adam Wolfe,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Funbox Media,HIGH,EXACT_PAL_PHYSICAL,ADD_PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,La edición PS4 consultada atribuye la publicación o distribución física a Funbox Media.,https://www.wog.ch/en/index.cfm/details/product/229543-Adam-Wolfe,https://store.playstation.com/en-us/product/UB0429-CUSA47562_00-0236883203951565,ADD,,funbox-media,Funbox Media,https://www.wog.ch/en/index.cfm/details/product/229543-Adam-Wolfe | https://store.playstation.com/en-us/product/UB0429-CUSA47562_00-0236883203951565,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-adam-s-venture-origins,Adam's Venture Origins,Adam's Venture Origins,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,SOEDESCO,HIGH,DIGITAL_PS4_EU | GAME_WORK | PS4_RELEASE,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: LAUNCHBOX_PS4, PLAYSTATION_STORE, STEAM, WIKIDATA.",https://gamesdb.launchbox-app.com/games/details/189164,https://store.playstation.com/es-es/product/EP4541-CUSA03772_00-AV00000000000000,ADD,,soedesco,Soedesco,https://gamesdb.launchbox-app.com/games/details/189164 | https://store.playstation.com/es-es/product/EP4541-CUSA03772_00-AV00000000000000,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-after-the-fall-frontrunner-edition,After the Fall: Frontrunner Edition,After the Fall: Frontrunner Edition,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Koch Media,HIGH,EXACT_EU_PHYSICAL,ADD_PHYSICAL_PUBLISHER,La ficha de la edición europea y el comunicado del grupo identifican la publicación física de Koch Media/Vertigo Games.,https://vgcollect.com/item/225345,https://presse.plaion.com/fr-BE/c-Vertigo-Games,ADD,,koch-media,KOCH Media,https://vgcollect.com/item/225345 | https://presse.plaion.com/fr-BE/c-Vertigo-Games,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-afterimage-deluxe-edition,Afterimage: Deluxe Edition,Afterimage: Deluxe Edition,PAL España,standard,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Maximum Entertainment,HIGH,GAME_WORK | PS4_RELEASE,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: LAUNCHBOX_PS4, STEAM.",https://gamesdb.launchbox-app.com/games/details/446579,https://store.steampowered.com/app/1701520,ADD,,maximum-games,Maximum Games,https://gamesdb.launchbox-app.com/games/details/446579 | https://store.steampowered.com/app/1701520,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-agatha-christie-hercule-poirot-the-london-case,Agatha Christie: Hercule Poirot - The London Case,Agatha Christie: Hercule Poirot - The London Case,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Microids,HIGH,GAME_WORK | PS4_RELEASE,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: LAUNCHBOX_PS4, STEAM.",https://gamesdb.launchbox-app.com/games/details/446276,https://store.steampowered.com/app/2223740,ADD,,microids,Microids,https://gamesdb.launchbox-app.com/games/details/446276 | https://store.steampowered.com/app/2223740,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-agatha-christie-murder-on-the-orient-express-deluxe-edition,Agatha Christie: Murder on the Orient Express [Deluxe Edition],Agatha Christie: Murder on the Orient Express [Deluxe Edition],PAL España,standard,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Microids,HIGH,GAME_WORK | PS4_RELEASE,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: LAUNCHBOX_PS4, STEAM.",https://gamesdb.launchbox-app.com/games/details/446630,https://store.steampowered.com/app/1904790,ADD,,microids,Microids,https://gamesdb.launchbox-app.com/games/details/446630 | https://store.steampowered.com/app/1904790,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-agents-of-mayhem-retail-edition,Agents of Mayhem Retail Edition,Agents of Mayhem Retail Edition,PAL España,standard,GAME_OR_UNKNOWN,DEVELOPER,,Volition,HIGH,GAME_WORK | PS4_RELEASE | SAME_WORK_EDITION,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: LAUNCHBOX_PS4, STEAM, VERIFIED_PS4_SIBLING.",https://gamesdb.launchbox-app.com/games/details/142597,https://store.steampowered.com/app/304530,ADD,,volition,Volition,https://gamesdb.launchbox-app.com/games/details/142597 | https://store.steampowered.com/app/304530,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-agents-of-mayhem-retail-edition,Agents of Mayhem Retail Edition,Agents of Mayhem Retail Edition,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Deep Silver,HIGH,GAME_WORK | PS4_RELEASE,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: LAUNCHBOX_PS4, STEAM, WIKIDATA.",https://gamesdb.launchbox-app.com/games/details/142597,https://store.steampowered.com/app/304530,ADD,,deep-silver,Deep SIlver,https://gamesdb.launchbox-app.com/games/details/142597 | https://store.steampowered.com/app/304530,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-air-conflicts-double-pack,Air Conflicts: Double Pack,Air Conflicts: Double Pack,PAL España,standard,POSSIBLE_COMPILATION_OR_MULTI_PRODUCT,DEVELOPER,Games Farm,Games Farm,HIGH,BUNDLE_COMPONENTS,ADD_DEVELOPER,Las fuentes consultadas atribuyen el desarrollo a Games Farm.,https://www.gamesmen.com.au/air-conflicts-double-pack,https://www.idealo.co.uk/compare/3870157/air-conflicts-vietnam.html,CONFIRM,Games Farm,games-farm,Games Farm,https://www.gamesmen.com.au/air-conflicts-double-pack | https://www.idealo.co.uk/compare/3870157/air-conflicts-vietnam.html,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-airoheart,Airoheart,Airoheart,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,SOEDESCO,HIGH,DIGITAL_PS4_EU | GAME_WORK | PS4_RELEASE,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: LAUNCHBOX_PS4, PLAYSTATION_STORE, STEAM.",https://gamesdb.launchbox-app.com/games/details/446669,https://store.playstation.com/es-es/product/EP4541-CUSA32391_00-AIROHEARTEU00000,ADD,,soedesco,Soedesco,https://gamesdb.launchbox-app.com/games/details/446669 | https://store.playstation.com/es-es/product/EP4541-CUSA32391_00-AIROHEARTEU00000,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-airport-simulator-day-&amp;-night,Airport Simulator: Day & Night,Airport Simulator: Day & Night,PAL España,standard,GAME_OR_UNKNOWN,DIGITAL_PUBLISHER,,Iridium Media Group GmbH,HIGH,DIGITAL_PS4_EU,ADD_OR_CONFIRM_CREDIT,Coincidencia rápida: PLAYSTATION_STORE.,https://store.playstation.com/es-es/product/EP8935-CUSA29671_00-AIRPORTDAYPS4EU0,,ADD,,iridium-media-group-gmbh,Iridium Media Group GmbH,https://store.playstation.com/es-es/product/EP8935-CUSA29671_00-AIRPORTDAYPS4EU0,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-ak-xolotl,AK-Xolotl,AK-xolotl,PAL España,standard,GAME_OR_UNKNOWN,DEVELOPER,,2Awesome Studio,VERY_HIGH,EXACT_PS4_WORK,ADD_DEVELOPER,El anuncio de lanzamiento físico identifica expresamente a 2Awesome Studio.,https://www.gamespress.com/AK-xolotl-releases-physically-for-PS4-PS5-and-Switch,,ADD,,2awesome-studios,2Awesome Studios,https://www.gamespress.com/AK-xolotl-releases-physically-for-PS4-PS5-and-Switch,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-ak-xolotl,AK-Xolotl,AK-xolotl,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Tesura Games,HIGH,EXACT_PAL_PHYSICAL,ADD_PHYSICAL_PUBLISHER_KEEP_DIGITAL_SEPARATE,La edición física PAL se atribuye a Tesura Games; Playstack se conserva como editora general/digital.,https://videogamesnewyork.com/ak-xolotl-collectors-edition-playstation-4/,https://en.tesuragames.com/blog/,ADD,,tesura-games,Tesura Games,https://videogamesnewyork.com/ak-xolotl-collectors-edition-playstation-4/ | https://en.tesuragames.com/blog/,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-akai-katana-shin,Akai Katana Shin,Akai Katana Shin,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,CITY CONNECTION,HIGH,GAME_WORK | PS4_RELEASE,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: LAUNCHBOX_PS4, STEAM.",https://gamesdb.launchbox-app.com/games/details/475378,https://store.steampowered.com/app/2076220,ADD,,city-connection,City Connection,https://gamesdb.launchbox-app.com/games/details/475378 | https://store.steampowered.com/app/2076220,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-alan-wake,Alan Wake,Alan Wake Remastered,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Epic Games Publishing,HIGH,EXACT_PS4_WORK,ADD_PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,La edición PS4 consultada atribuye la publicación o distribución física a Epic Games Publishing.,https://www.alanwake.com/story/alan-wake-remastered/,https://store.epicgames.com/en-US/p/alan-wake-remastered,ADD,,epic-games-publishing,Epic Games Publishing,https://www.alanwake.com/story/alan-wake-remastered/ | https://store.epicgames.com/en-US/p/alan-wake-remastered,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-alchemic-cutie,Alchemic Cutie,Alchemic Cutie,PAL España,standard,GAME_OR_UNKNOWN,DIGITAL_PUBLISHER,,PM Studios,HIGH,DIGITAL_PS4_EU,ADD_OR_CONFIRM_CREDIT,Coincidencia rápida: PLAYSTATION_STORE.,https://store.playstation.com/es-es/product/EP2011-CUSA35709_00-2316226160245105,,ADD,,pm-studios,PM Studios,https://store.playstation.com/es-es/product/EP2011-CUSA35709_00-2316226160245105,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-alchemic-jousts,Alchemic Jousts,Alchemic Jousts,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Lunatic Pixels,HIGH,DIGITAL_PS4_EU | GAME_WORK,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: PLAYSTATION_STORE, STEAM.",https://store.playstation.com/es-es/product/EP2722-CUSA06924_00-ALCHEMICJOUSTS00,https://store.steampowered.com/app/516890,ADD,,lunatic-pixels,Lunatic Pixels,https://store.playstation.com/es-es/product/EP2722-CUSA06924_00-ALCHEMICJOUSTS00 | https://store.steampowered.com/app/516890,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-alliance-alive-hd-remastered-limited-edition,Alliance Alive HD Remastered [Limited Edition],The Alliance Alive HD Remastered [Limited Edition],PAL España,standard,EDITION_VARIANT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,NIS America,VERY_HIGH,EXACT_PS4_LIMITED_EDITION,ADD_PHYSICAL_PUBLISHER_AND_NORMALIZE_TITLE,La página oficial de NIS America muestra expresamente la edición limitada para PS4.,https://nisamerica.com/games/alliancealive/,https://www.nisamerica.com/alliance-alive/product/,ADD,,nis-america,NIS America,https://nisamerica.com/games/alliancealive/ | https://www.nisamerica.com/alliance-alive/product/,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-alwa%27s-collection,Alwa's Collection,Alwa's Collection,PAL España,standard,POSSIBLE_COMPILATION_OR_MULTI_PRODUCT,DEVELOPER,,Elden Pixels,VERY_HIGH,EXACT_PS4_COMPILATION,ADD_DEVELOPER_AND_CLASSIFY_COMPILATION,La ficha oficial identifica a Elden Pixels como desarrolladora.,https://clearrivergames.com/games/alwas-collection/,,ADD,,elden-pixels,Elden Pixels,https://clearrivergames.com/games/alwas-collection/,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-alwa%27s-collection,Alwa's Collection,Alwa's Collection,PAL España,standard,POSSIBLE_COMPILATION_OR_MULTI_PRODUCT,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,Clear River Games,VERY_HIGH,EXACT_PS4_PHYSICAL,ADD_PHYSICAL_PUBLISHER,La ficha oficial identifica la edición como física y a Clear River Games como editora.,https://clearrivergames.com/games/alwas-collection/,,ADD,,clear-river-games,Clear River Games,https://clearrivergames.com/games/alwas-collection/,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-amazing-spiderman-2,Amazing Spiderman 2,The Amazing Spider-Man 2,PAL España,standard,GAME_OR_UNKNOWN,DEVELOPER,,Beenox,VERY_HIGH,EXACT_PS4_WORK,ADD_DEVELOPER_AND_NORMALIZE_TITLE,Activision y PlayStation atribuyen el desarrollo de las versiones PS3/PS4 a Beenox.,https://investor.activision.com/news-releases/news-release-details/activision-publishing-inc-unleashes-amazing-spider-man-2tm-video,https://blog.playstation.com/2014/04/29/the-amazing-spider-man-2-out-today-on-ps3-ps4/,ADD,,beenox,Beenox,https://investor.activision.com/news-releases/news-release-details/activision-publishing-inc-unleashes-amazing-spider-man-2tm-video | https://blog.playstation.com/2014/04/29/the-amazing-spider-man-2-out-today-on-ps3-ps4/,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-amazing-spiderman-2,Amazing Spiderman 2,The Amazing Spider-Man 2,PAL España,standard,GAME_OR_UNKNOWN,PUBLISHER,,Activision Publishing,VERY_HIGH,EXACT_PS4_WORK,ADD_PUBLISHER_AND_NORMALIZE_TITLE,La nota corporativa de lanzamiento identifica a Activision Publishing como editora.,https://investor.activision.com/news-releases/news-release-details/activision-publishing-inc-unleashes-amazing-spider-man-2tm-video,,ADD,,activision-publishing,Activision Publishing,https://investor.activision.com/news-releases/news-release-details/activision-publishing-inc-unleashes-amazing-spider-man-2tm-video,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-amazing-spiderman-2-not-for-resale,Amazing Spiderman 2 [Not For Resale],The Amazing Spider-Man 2 [Not For Resale],PAL España,standard,PROMO_COPY,DEVELOPER,,Beenox,HIGH,PROMO_OF_VERIFIED_PS4_WORK,ADD_DEVELOPER_LINK_TO_BASE_WORK,Copia promocional de la misma versión PS4 desarrollada por Beenox.,https://investor.activision.com/news-releases/news-release-details/activision-publishing-inc-unleashes-amazing-spider-man-2tm-video,,ADD,,beenox,Beenox,https://investor.activision.com/news-releases/news-release-details/activision-publishing-inc-unleashes-amazing-spider-man-2tm-video,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-amazing-spiderman-2-not-for-resale,Amazing Spiderman 2 [Not For Resale],The Amazing Spider-Man 2 [Not For Resale],PAL España,standard,PROMO_COPY,PUBLISHER,,Activision Publishing,HIGH,PROMO_OF_VERIFIED_PS4_WORK,ADD_PUBLISHER_LINK_TO_BASE_WORK,Copia promocional del lanzamiento de Activision Publishing.,https://investor.activision.com/news-releases/news-release-details/activision-publishing-inc-unleashes-amazing-spider-man-2tm-video,,ADD,,activision-publishing,Activision Publishing,https://investor.activision.com/news-releases/news-release-details/activision-publishing-inc-unleashes-amazing-spider-man-2tm-video,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-ambition-record,Ambition Record,Ambition Record,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,KEMCO,HIGH,GAME_WORK,ADD_OR_CONFIRM_CREDIT,"Coincidencia rápida: STEAM, WIKIDATA.",https://store.steampowered.com/app/1796930,https://www.wikidata.org/entity/Q110812241,ADD,,kemco,Kemco Corporation,https://store.steampowered.com/app/1796930 | https://www.wikidata.org/entity/Q110812241,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-ancestors-legacy-conqueror%27s-edition,Ancestors Legacy: Conqueror's Edition,Ancestors Legacy: Conqueror's Edition,PAL España,standard,GAME_OR_UNKNOWN,DEVELOPER,,Destructive Creations,HIGH,EXACT_PS4_PHYSICAL_EDITION,ADD_DEVELOPER,Las fuentes consultadas atribuyen el desarrollo a Destructive Creations.,https://destructivecreations.pl/games/ancestors-legacy/,https://www.pricecharting.com/game/playstation-4/ancestors-legacy,ADD,,destructive-creations,Destructive Creations,https://destructivecreations.pl/games/ancestors-legacy/ | https://www.pricecharting.com/game/playstation-4/ancestors-legacy,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
ps4-ancestors-legacy-conqueror%27s-edition,Ancestors Legacy: Conqueror's Edition,Ancestors Legacy: Conqueror's Edition,PAL España,standard,GAME_OR_UNKNOWN,PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,,GS2 Games,HIGH,EXACT_PS4_PHYSICAL_EDITION,ADD_PHYSICAL_PUBLISHER_OR_DISTRIBUTOR,La edición PS4 consultada atribuye la publicación o distribución física a GS2 Games.,https://destructivecreations.pl/games/ancestors-legacy/,https://www.pricecharting.com/game/playstation-4/ancestors-legacy,ADD,,gs2-games,GS2 Games,https://destructivecreations.pl/games/ancestors-legacy/ | https://www.pricecharting.com/game/playstation-4/ancestors-legacy,,,2026-09-05,company-credit-ps4-pal-rapid-review-2026-09-05
