provisional_work_key,representative_title,catalog_ids,missing_or_conflicting_roles,current_values,candidate_companies,best_confidence,conflict_reason,catalog_entry_count,company_game_impact,source_urls,recommended_next_research,priority
call of duty advanced warfare,Call of Duty Advanced Warfare,ps4-call-of-duty-advanced-warfare,developer | physical_publisher,developer=High Moon; physical_publisher=Activision,Activision [activision] | High Moon Studios [high-moon-studios] | Raven Software [raven-software] | Sledgehammer Games [sledgehammer-games],HIGH,HIGH_REPLACEMENT_CONFLICT,5,activision:494 | high-moon-studios:2 | raven-software:13 | sledgehammer-games:4,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/21407 | https://store.playstation.com/es-es/product/EP0002-CUSA00851_00-CODAW00000000000 | https://www.pricecharting.com/game/pal-playstation-4/call-of-duty-advanced-warfare | https://www.wikidata.org/wiki/Q16743064,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
call of duty black ops 4,Call Of Duty Black Ops 4,ps4-call-of-duty-black-ops-4,developer | physical_publisher,"developer=Treyarch, Beenox; physical_publisher=(empty)",Activision [activision] | Beenox [beenox] | Raven Software [raven-software] | Treyarch Corporation [treyarch],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPOSITE_CREDIT | MISSING_PHYSICAL_PUBLISHER,4,activision:494 | beenox:21 | raven-software:13 | treyarch:45,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP0002-CUSA12443_00-CODBO4THEGAME001 | https://www.pricecharting.com/game/pal-playstation-4/call-of-duty-black-ops-4 | https://www.wikidata.org/wiki/Q50376633,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
call of duty black ops iii,Call of Duty Black Ops III,ps4-call-of-duty-black-ops-iii,developer | physical_publisher,developer=Beenox; physical_publisher=Sony Computer Entertainment,Activision [activision] | Aspyr (Mac) [unresolved] | Treyarch Corporation [treyarch],HIGH,HIGH_REPLACEMENT_CONFLICT,4,activision:494 | treyarch:45,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/29237 | https://store.playstation.com/es-es/product/EP0002-CUSA02624_00-BLACKOPS3GAME000 | https://store.steampowered.com/app/388520 | https://www.pricecharting.com/game/pal-playstation-4/call-of-duty-black-ops-iii | https://www.wikidata.org/wiki/Q19789342,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
call of duty modern warfare,Call of Duty: Modern Warfare Remastered,ps4-call-of-duty-modern-warfare-remastered,developer | physical_publisher,developer=Infinity Ward; physical_publisher=Sony Interactive Entertainment,Activision [activision] | Infinity Ward [infinity-ward] | Raven Software [raven-software],HIGH,HIGH_REPLACEMENT_CONFLICT,3,activision:494 | infinity-ward:19 | raven-software:13,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/162128 | https://store.playstation.com/es-es/product/EP0002-CUSA05379_00-CODMWRTHEGAME001 | https://www.pricecharting.com/game/pal-playstation-4/call-of-duty-modern-warfare-remastered | https://www.wikidata.org/wiki/Q28869873,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
call of duty wwii,Call of Duty WWII,ps4-call-of-duty-wwii,developer | physical_publisher,developer=Sledgehammer Games; physical_publisher=Sony Interactive Entertainment,Activision [activision] | Raven Software [raven-software] | Sledgehammer Games [sledgehammer-games],HIGH,HIGH_REPLACEMENT_CONFLICT,3,activision:494 | raven-software:13 | sledgehammer-games:4,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/129108 | https://store.playstation.com/es-es/product/EP0002-CUSA08630_00-CODWWIITHEGAME01 | https://store.steampowered.com/app/476600 | https://www.pricecharting.com/game/pal-playstation-4/call-of-duty-wwii | https://www.wikidata.org/wiki/Q29577137,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
child of light,Child Of Light [Deluxe Edition],ps4-child-of-light-deluxe-edition,developer | physical_publisher,developer=Ubisoft; physical_publisher=Ubisoft,Ubisoft Montreal [ubisoft-montreal] | Ubisoft [unresolved],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPANY_ENTITY_UNRESOLVED,2,ubisoft-montreal:92,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/20127 | https://store.playstation.com/es-es/product/EP0001-CUSA00074_00-CHILDOFLIGHT0001 | https://store.steampowered.com/app/256290 | https://www.pricecharting.com/game/pal-playstation-4/child-of-light-deluxe-edition,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
coffee talk,Coffee Talk,ps4-coffee-talk,developer | physical_publisher,"developer=Toge Productions, Chorus Worldwide; physical_publisher=Strictly Limited Games, United Games Entertainment",Chorus Worldwide [chorus-worldwide] | Strictly Limited Games [strictly-limited-games] | Toge Productions [toge-productions] | United Games Entertainment GmbH [united-games-entertainment-gmbh],HIGH,HIGH_REPLACEMENT_CONFLICT | MULTIPLE_HIGH_COMPANIES | COMPOSITE_CREDIT | IDENTIFIER_OR_TITLE_CONFLICT,2,chorus-worldwide:5 | strictly-limited-games:62 | toge-productions:5 | united-games-entertainment-gmbh:2,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/473008 | https://store.playstation.com/es-es/product/EP5438-CUSA18112_00-CHOR000000000E6D | https://store.steampowered.com/app/914800 | https://www.pricecharting.com/game/pal-playstation-4/coffee-talk | https://www.wikidata.org/wiki/Q85753234,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
constructor plus,Constructor Plus,ps4-constructor-plus,developer | physical_publisher,developer=System 3 Software Ltd; physical_publisher=System 3 Software Ltd,System 3 Software Ltd [system-3-software-ltd] | System 3 [system-3],HIGH,HIGH_REPLACEMENT_CONFLICT,1,system-3-software-ltd:1 | system-3:19,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP4037-CUSA14620_00-CONSTRPLUSPS4EUD | https://store.steampowered.com/app/898800 | https://www.pricecharting.com/game/pal-playstation-4/constructor-plus | https://www.wikidata.org/wiki/Q123456039,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
dakar 18,Dakar 18,ps4-dakar-18,developer | physical_publisher,developer=Bigmoon; physical_publisher=(empty),Bigmoon Entertainment [bigmoon-entertainment] | Bigmoon [bigmoon] | Deep SIlver [deep-silver],HIGH,HIGH_REPLACEMENT_CONFLICT | MISSING_PHYSICAL_PUBLISHER,1,bigmoon-entertainment:1 | bigmoon:2 | deep-silver:103,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/207517 | https://store.playstation.com/es-es/product/EP4062-CUSA11741_00-BGMNDAKAR18000EU | https://store.steampowered.com/app/767390 | https://www.pricecharting.com/game/pal-playstation-4/dakar-18,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
deponia doomsday,Deponia Doomsday,ps4-deponia-doomsday,developer | physical_publisher,developer=Daedalic; physical_publisher=Daedalic,Daedalic Entertainment [daedalic-entertainment] | Daedalic [daedalic],HIGH,HIGH_REPLACEMENT_CONFLICT,1,daedalic-entertainment:11 | daedalic:2,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP8923-CUSA14186_00-DAEEUDEPONIA4000 | https://store.steampowered.com/app/421050 | https://www.pricecharting.com/game/pal-playstation-4/deponia-doomsday,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
doom,Doom,ps4-doom,developer | physical_publisher,developer=MachineGames; physical_publisher=(empty),Bethesda Softworks [bethesda-softworks] | Id Software [id-software] | Nerve Software [unresolved],HIGH,HIGH_REPLACEMENT_CONFLICT | MISSING_PHYSICAL_PUBLISHER,4,bethesda-softworks:87 | id-software:36,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/35284 | https://store.playstation.com/es-es/product/EP1003-CUSA02092_00-DOOMEUROPEROWSKU | https://store.steampowered.com/app/379720 | https://www.pricecharting.com/game/pal-playstation-4/doom | https://www.wikidata.org/wiki/Q189784,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
doom eternal,Doom Eternal,ps4-doom-eternal,developer | physical_publisher,developer=Id Software; physical_publisher=Bethesda Softworks,Bethesda Softworks [bethesda-softworks] | Id Software [id-software] | ZeniMax Media Inc. [zenimax-media-inc],HIGH,HIGH_REPLACEMENT_CONFLICT,3,bethesda-softworks:87 | id-software:36 | zenimax-media-inc:2,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/176857 | https://store.playstation.com/es-es/product/EP1003-CUSA13275_00-DOOM050000000000 | https://store.steampowered.com/app/782330 | https://www.pricecharting.com/game/pal-playstation-4/doom-eternal | https://www.wikidata.org/wiki/Q55662649,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
efootball pes 2021 season update,eFootball PES 2021 Season Update,ps4-efootball-pes-2021-season-update,developer | physical_publisher,developer=Konami Digital Entertainment; physical_publisher=Konami Digital Entertainment,Konami [konami] | PES Productions [pes-productions],HIGH,HIGH_REPLACEMENT_CONFLICT,1,konami:647 | pes-productions:1,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/208577 | https://store.playstation.com/es-es/product/EP0101-CUSA18740_00-PES2021000000000 | https://www.pricecharting.com/game/pal-playstation-4/efootball-pes-2021-season-update,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
ever forward,Ever Forward,ps4-ever-forward,developer | physical_publisher,"developer=Pathea Games; physical_publisher=Numskull Games Ltd., PM Studios",Numskull Games Ltd. [numskull-games] | PM Studios [pm-studios] | Pathea Games [pathea-games],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPOSITE_CREDIT,1,numskull-games:25 | pathea-games:4 | pm-studios:22,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP2011-CUSA28809_00-1559996560680869 | https://store.steampowered.com/app/1220370 | https://www.pricecharting.com/game/pal-playstation-4/ever-forward | https://www.wikidata.org/wiki/Q107526542,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
f1 2019,F1 2019,ps4-f1-2019,developer | physical_publisher,developer=Codemasters Birmingham; physical_publisher=Codemasters,Codemasters [codemasters] | KOCH Media [koch-media],HIGH,HIGH_REPLACEMENT_CONFLICT,4,codemasters:157 | koch-media:12,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/208804 | https://store.playstation.com/es-es/product/EP4001-CUSA14392_00-F12019EMASTER000 | https://www.pricecharting.com/game/pal-playstation-4/f1-2019 | https://www.wikidata.org/wiki/Q63113436,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
f1 2020,F1 2020,ps4-f1-2020,developer | physical_publisher,developer=Codemasters Birmingham; physical_publisher=Codemasters,Codemasters [codemasters],HIGH,HIGH_REPLACEMENT_CONFLICT,3,codemasters:157,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/208803 | https://store.playstation.com/es-es/product/EP4001-CUSA16283_00-F12020EMASTER000 | https://www.pricecharting.com/game/pal-playstation-4/f1-2020 | https://www.wikidata.org/wiki/Q91441450,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
f1 22,F1 22,ps4-f1-22,developer | physical_publisher,developer=Codemasters Birmingham; physical_publisher=EA Sports,Codemasters [codemasters] | Electronic Arts [electronic-arts],HIGH,HIGH_REPLACEMENT_CONFLICT,1,codemasters:157 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/473160 | https://store.playstation.com/es-es/product/EP0006-CUSA29431_00-F12022PS4GAME000 | https://store.steampowered.com/app/1692250 | https://www.pricecharting.com/game/pal-playstation-4/f1-22 | https://www.wikidata.org/wiki/Q111676993,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
fifa 21,FIFA 21,ps4-fifa-21,developer | physical_publisher,developer=EA Vancouver; physical_publisher=EA Sports,EA Sports [ea-sports] | EA Vancouver [ea-vancouver] | Electronic Arts [electronic-arts],HIGH,HIGH_REPLACEMENT_CONFLICT,3,ea-sports:311 | ea-vancouver:48 | electronic-arts:675,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/208563 | https://store.playstation.com/es-es/product/EP0006-CUSA18987_00-FIFAFOOTBALL2021 | https://www.pricecharting.com/game/pal-playstation-4/fifa-21,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
five nights at freddy s into the pit,Five Nights At Freddy's: Into The Pit,ps4-five-nights-at-freddy%27s-into-the-pit,developer | physical_publisher,"developer=Mega Cat Studios, ScottGames; physical_publisher=(empty)",Mega Cat Studios [mega-cat-studios] | ScottGames [unresolved],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPOSITE_CREDIT | MISSING_PHYSICAL_PUBLISHER,1,mega-cat-studios:4,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/475712 | https://store.steampowered.com/app/2638370 | https://www.pricecharting.com/game/pal-playstation-4/five-nights-at-freddy%27s-into-the-pit | https://www.wikidata.org/wiki/Q124357509,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
ghost of tsushima,Ghost of Tsushima,ps4-ghost-of-tsushima,developer | physical_publisher,"developer=Sucker Punch Productions, L.L.C.; physical_publisher=Sony Interactive Entertainment Europe Ltd.","Sony Interactive Entertainment Europe Ltd. [unresolved] | Sony Interactive Entertainment [sony-interactive-entertainment] | Sucker Punch Productions [sucker-punch-productions] | Sucker Punch Productions, L.L.C. [sucker-punch-productions-l-l-c]",HIGH,HIGH_REPLACEMENT_CONFLICT | COMPANY_ENTITY_UNRESOLVED,4,sony-interactive-entertainment:424 | sucker-punch-productions-l-l-c:2 | sucker-punch-productions:11,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/184978 | https://store.playstation.com/es-es/product/EP9000-CUSA13323_00-GHOSTSHIP0000000 | https://www.pricecharting.com/game/pal-playstation-4/ghost-of-tsushima,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
god of war,God Of War,ps4-god-of-war,developer | physical_publisher,developer=Sony Santa Monica Studio; physical_publisher=Sony Computer Entertainment,Jetpack Interactive [unresolved] | SIE Santa Monica Studio [unresolved] | Santa Monica Studio [santa-monica-studio] | Sony Interactive Entertainment Europe Ltd. [unresolved] | Sony Interactive Entertainment [sony-interactive-entertainment],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPANY_ENTITY_UNRESOLVED,7,santa-monica-studio:10 | sony-interactive-entertainment:424,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/149607 | https://store.playstation.com/es-es/product/EP9000-CUSA07410_00-00000000GODOFWAR | https://store.steampowered.com/app/1593500 | https://www.pricecharting.com/game/pal-playstation-4/god-of-war | https://www.wikidata.org/wiki/Q817369,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
goodbye deponia,Goodbye Deponia,ps4-goodbye-deponia,developer | physical_publisher,developer=Daedalic; physical_publisher=Daedalic,Daedalic Entertainment [daedalic-entertainment] | Daedalic [daedalic],HIGH,HIGH_REPLACEMENT_CONFLICT,1,daedalic-entertainment:11 | daedalic:2,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP8923-CUSA13788_00-DAEEUDEPONIA3000 | https://store.steampowered.com/app/241910 | https://www.pricecharting.com/game/pal-playstation-4/goodbye-deponia | https://www.wikidata.org/wiki/Q15743989,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
gran turismo 7,Gran Turismo 7,ps4-gran-turismo-7,developer | physical_publisher,developer=Polyphony Digital; physical_publisher=PlayStation Studios,Polyphony Digital [polyphony-digital] | Sony Interactive Entertainment [sony-interactive-entertainment],HIGH,HIGH_REPLACEMENT_CONFLICT,1,polyphony-digital:25 | sony-interactive-entertainment:424,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://store.playstation.com/es-es/product/EP9001-CUSA24767_00-GRANTURISMO70000 | https://www.pricecharting.com/game/pal-playstation-4/gran-turismo-7,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
gravity rush,Gravity Rush Remastered,ps4-gravity-rush-remastered,developer | physical_publisher,developer=SCE Japan Studio; physical_publisher=Sony Computer Entertainment,Bluepoint Games [bluepoint-games] | JAPAN Studio [japan-studio] | Sony Computer Entertainment Europe Ltd. [unresolved] | Sony Interactive Entertainment [sony-interactive-entertainment],HIGH,HIGH_REPLACEMENT_CONFLICT | COMPANY_ENTITY_UNRESOLVED,3,bluepoint-games:3 | japan-studio:13 | sony-interactive-entertainment:424,https://en.wikipedia.org/wiki/List_of_PlayStation_4_games_(A%E2%80%93L) | https://gamesdb.launchbox-app.com/games/details/34142 | https://store.playstation.com/es-es/product/EP9000-CUSA02318_00-GRAVITYRUSHHDUK0 | https://www.pricecharting.com/game/pal-playstation-4/gravity-rush-remastered,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
hack gu last recode,.hack GU Last Recode,ps4-hack-gu-last-recode,developer | physical_publisher,developer=CyberConnect2; physical_publisher=Namco Bandai Games,Bandai Namco Entertainment Europe S.A.S. [bandai-namco-entertainment-europe-s-a-s] | CyberConnect2 [unresolved],HIGH,HIGH_REPLACEMENT_CONFLICT | IDENTIFIER_OR_TITLE_CONFLICT,1,bandai-namco-entertainment-europe-s-a-s:3,https://store.playstation.com/es-es/product/EP0700-CUSA07691_00-HACKGURECODE0000 | https://www.pricecharting.com/game/pal-playstation-4/hack-gu-last-recode,Contrastar el valor actual y el candidato con una fuente primaria exacta antes de sustituir.,1
